customer_id,company_name,industry,customer_segment,billing_city,account_opened_date,customer_status
C00137,Cloudline Industries 137,Financial Services,Mid-Market,Seattle,2019-07-14,At Risk
C00138,CedarWorks Holdings 138,Technology,SMB,Denver,2020-11-26,Active
C00139,Redwood Industries 139,Healthcare,SMB,Austin,2022-03-18,Active
C00140,BluePeak Systems 140,Professional Services,SMB,Austin,2024-02-16,Active
C00141,Ironwood Group 141,Financial Services,Mid-Market,Portland,2018-10-01,Active
C00142,BluePeak Partners 142,Technology,SMB,New York,2021-05-16,Active
C00143,Redwood Group 143,Retail,SMB,San Diego,2018-07-11,Active
C00144,CedarWorks Partners 144,Professional Services,Mid-Market,Denver,2019-12-21,Active
C00145,CedarWorks Industries 145,Healthcare,SMB,New York,2024-01-27,Active
C00146,Evergreen Holdings 146,Technology,SMB,Seattle,2019-04-05,At Risk
C00147,Westbridge Systems 147,Professional Services,Mid-Market,Denver,2022-03-31,Active
C00148,Evergreen Group 148,Retail,Mid-Market,New York,2020-08-05,Active
C00149,BluePeak Industries 149,Professional Services,SMB,Denver,2019-07-31,At Risk
C00150,Evergreen Holdings 150,Retail,SMB,Phoenix,2022-12-06,Active
C00151,HarborPoint Systems 151,Retail,SMB,Denver,2022-11-21,Active
C00152,Ironwood Systems 152,Manufacturing,Mid-Market,San Diego,2024-03-05,Active
C00153,Westbridge Holdings 153,Retail,SMB,Austin,2019-09-17,At Risk
C00154,CedarWorks Systems 154,Healthcare,Mid-Market,San Diego,2020-09-13,Active
C00155,Cloudline Group 155,Healthcare,Mid-Market,Portland,2019-09-06,Active
C00156,HarborPoint Partners 156,Professional Services,Enterprise,Seattle,2018-02-10,Churned
C00157,Summit Holdings 157,Healthcare,SMB,Boston,2018-04-06,Active
C00158,Westbridge Holdings 158,Professional Services,Mid-Market,Austin,2019-11-09,Churned
C00159,Redwood Partners 159,Professional Services,Mid-Market,Dallas,2021-02-05,Active
C00160,Lumen Group 160,Manufacturing,Mid-Market,San Diego,2019-02-27,Active
C00161,BluePeak Industries 161,Retail,Mid-Market,Phoenix,2018-04-14,Active
C00162,Evergreen Industries 162,Healthcare,SMB,Denver,2019-07-31,Active
C00163,Westbridge Industries 163,Retail,Enterprise,Boston,2022-05-18,Active
C00164,Cloudline Systems 164,Retail,Mid-Market,Dallas,2021-07-22,Active
C00165,Lumen Group 165,Retail,Mid-Market,Boston,2024-08-25,Active
C00166,Ironwood Holdings 166,Professional Services,SMB,New York,2020-05-19,Active
C00167,BluePeak Holdings 167,Manufacturing,SMB,Phoenix,2018-05-26,Active
C00168,Westbridge Partners 168,Professional Services,Enterprise,Denver,2019-08-13,Active
C00169,CedarWorks Partners 169,Professional Services,Mid-Market,New York,2024-02-17,At Risk
C00170,Summit Partners 170,Financial Services,SMB,Seattle,2018-04-08,Active
C00171,HarborPoint Partners 171,Professional Services,Mid-Market,Phoenix,2023-05-29,Active
C00172,Ironwood Partners 172,Healthcare,Mid-Market,Dallas,2020-11-19,Active
C00173,Ironwood Group 173,Retail,SMB,Chicago,2018-12-31,Active
C00174,Summit Systems 174,Technology,Enterprise,Seattle,2021-06-29,Active
C00175,Westbridge Industries 175,Manufacturing,Mid-Market,Chicago,2023-07-06,Active
C00176,Westbridge Industries 176,Manufacturing,SMB,Austin,2018-12-31,Active
C00177,Pioneer Partners 177,Healthcare,Enterprise,Boston,2020-02-28,At Risk
C00178,Evergreen Group 178,Professional Services,Enterprise,Denver,2023-01-07,Active
C00179,Lumen Group 179,Healthcare,SMB,Boston,2018-07-04,Active
C00180,Westbridge Group 180,Healthcare,SMB,Portland,2023-10-02,Active
C00181,Summit Partners 181,Manufacturing,Mid-Market,Phoenix,2019-05-28,At Risk
C00182,Westbridge Industries 182,Manufacturing,Mid-Market,Chicago,2020-01-07,Active
C00183,Northstar Holdings 183,Professional Services,Mid-Market,Phoenix,2018-04-04,Active
C00184,Lumen Group 184,Retail,Mid-Market,Austin,2021-08-03,At Risk
C00185,BluePeak Partners 185,Technology,Enterprise,San Diego,2024-09-15,Churned
C00186,Westbridge Systems 186,Professional Services,Mid-Market,San Diego,2019-04-16,Churned
C00187,Redwood Systems 187,Professional Services,SMB,Denver,2018-03-07,Active
C00188,Ironwood Industries 188,Retail,SMB,New York,2022-02-18,Active
C00189,Cloudline Holdings 189,Manufacturing,Mid-Market,Chicago,2019-05-12,Active
C00190,CedarWorks Industries 190,Financial Services,Mid-Market,Denver,2024-02-03,Active
C00191,Evergreen Systems 191,Professional Services,SMB,Dallas,2024-09-23,Active
C00192,CedarWorks Partners 192,Retail,Mid-Market,Austin,2023-06-28,Active
C00193,CedarWorks Partners 193,Professional Services,SMB,Chicago,2018-09-29,Active
C00194,Cloudline Systems 194,Professional Services,SMB,Chicago,2019-06-24,Active
C00195,CedarWorks Holdings 195,Retail,SMB,San Diego,2021-04-29,Active
C00196,Cloudline Systems 196,Professional Services,SMB,Austin,2022-01-16,Active
C00197,Redwood Group 197,Retail,Mid-Market,Denver,2019-03-23,Active
C00198,Westbridge Holdings 198,Retail,Mid-Market,Seattle,2020-02-29,Active
C00199,Northstar Holdings 199,Healthcare,Mid-Market,Austin,2023-11-06,Active
C00200,HarborPoint Partners 200,Retail,Enterprise,Boston,2020-11-16,Active
C00201,Summit Systems 201,Financial Services,Mid-Market,Boston,2022-03-18,Active
C00202,Lumen Partners 202,Healthcare,Enterprise,Denver,2019-09-16,Active
C00203,Cloudline Group 203,Financial Services,Mid-Market,Boston,2024-10-06,Active
C00204,Pioneer Partners 204,Financial Services,SMB,Chicago,2018-12-08,Active
C00205,Cloudline Industries 205,Technology,SMB,Boston,2024-05-26,Active
C00206,Ironwood Holdings 206,Technology,SMB,Portland,2023-03-02,Active
C00207,Evergreen Group 207,Retail,Enterprise,Dallas,2020-03-30,At Risk
C00208,Summit Systems 208,Healthcare,Mid-Market,Dallas,2022-10-23,Active
C00209,Ironwood Partners 209,Retail,Enterprise,Chicago,2018-02-11,Active
C00210,BluePeak Systems 210,Financial Services,SMB,Chicago,2024-10-26,Active
C00211,Ironwood Partners 211,Technology,Mid-Market,Boston,2018-01-02,Active
C00212,Pioneer Systems 212,Manufacturing,SMB,New York,2019-01-07,Active
C00213,Westbridge Industries 213,Financial Services,Mid-Market,Boston,2022-02-23,Active
C00214,Evergreen Systems 214,Financial Services,SMB,Seattle,2020-09-14,Active
C00215,Evergreen Holdings 215,Financial Services,Mid-Market,Dallas,2024-03-19,Active
C00216,Lumen Group 216,Manufacturing,Enterprise,Seattle,2023-09-09,Active
C00217,Westbridge Group 217,Healthcare,Mid-Market,Portland,2021-05-22,Active
C00218,Ironwood Systems 218,Professional Services,SMB,Dallas,2019-03-18,Active
C00219,HarborPoint Industries 219,Manufacturing,Enterprise,Portland,2022-04-19,Active
C00220,Northstar Industries 220,Technology,SMB,Phoenix,2018-02-22,At Risk
C00221,Redwood Holdings 221,Retail,Mid-Market,New York,2020-01-12,Active
C00222,Lumen Systems 222,Financial Services,Mid-Market,Boston,2019-11-26,Active
C00223,CedarWorks Partners 223,Retail,Mid-Market,Austin,2021-08-26,Active
C00224,Ironwood Holdings 224,Retail,Mid-Market,Phoenix,2022-03-18,Active
C00225,Pioneer Group 225,Technology,Mid-Market,Boston,2019-06-30,Active
C00226,Westbridge Partners 226,Healthcare,SMB,Seattle,2023-03-06,Active
C00227,Northstar Group 227,Technology,Mid-Market,Chicago,2024-03-12,Active
C00228,Northstar Group 228,Professional Services,Enterprise,New York,2024-07-15,Active
C00229,Cloudline Group 229,Healthcare,SMB,San Diego,2020-12-16,Active
C00230,Summit Holdings 230,Professional Services,SMB,New York,2020-10-06,At Risk
C00231,CedarWorks Systems 231,Retail,Enterprise,Dallas,2021-01-13,Active
C00232,Lumen Group 232,Healthcare,SMB,Denver,2018-08-01,At Risk
C00233,Cloudline Holdings 233,Manufacturing,Mid-Market,Chicago,2024-09-11,Active
C00234,Pioneer Industries 234,Financial Services,SMB,Denver,2018-07-16,Active
C00235,Northstar Partners 235,Manufacturing,Enterprise,San Diego,2018-03-07,Active
C00236,CedarWorks Systems 236,Professional Services,SMB,Portland,2021-01-09,Active
C00237,Lumen Systems 237,Healthcare,Mid-Market,Portland,2021-03-19,At Risk
C00238,HarborPoint Partners 238,Retail,SMB,Boston,2023-06-01,Active
C00239,Westbridge Partners 239,Manufacturing,SMB,Denver,2020-06-09,Active
C00240,HarborPoint Industries 240,Retail,Mid-Market,New York,2019-11-03,Active
C00241,Summit Partners 241,Manufacturing,Mid-Market,Phoenix,2021-04-02,Active
C00242,Lumen Systems 242,Technology,Mid-Market,Chicago,2023-01-11,Churned
C00243,Redwood Group 243,Professional Services,Enterprise,Portland,2022-04-14,Churned
C00244,Redwood Systems 244,Financial Services,SMB,Dallas,2019-01-10,At Risk
C00245,BluePeak Group 245,Technology,SMB,Denver,2024-01-22,At Risk
C00246,Cloudline Industries 246,Technology,SMB,Phoenix,2022-12-04,Active
C00247,Northstar Group 247,Healthcare,Mid-Market,New York,2019-08-27,Active
C00248,Northstar Group 248,Retail,Mid-Market,Denver,2021-11-30,Active
C00249,BluePeak Systems 249,Healthcare,Enterprise,Austin,2020-12-04,Churned
C00250,Summit Industries 250,Professional Services,Mid-Market,Portland,2020-05-10,Churned
C00251,Evergreen Group 251,Retail,Enterprise,Austin,2022-09-30,Active
C00252,Redwood Partners 252,Financial Services,Mid-Market,San Diego,2024-08-03,Active
C00253,Redwood Systems 253,Manufacturing,SMB,Austin,2018-07-04,Active
C00254,Pioneer Holdings 254,Professional Services,SMB,Denver,2020-04-30,Active
C00255,HarborPoint Partners 255,Financial Services,SMB,Phoenix,2023-12-10,Active
C00256,Evergreen Holdings 256,Technology,Mid-Market,New York,2024-07-24,At Risk
C00257,Redwood Systems 257,Manufacturing,SMB,Boston,2024-04-21,Active
C00258,Summit Group 258,Technology,Mid-Market,Seattle,2024-07-27,Active
C00259,Evergreen Holdings 259,Professional Services,Mid-Market,Phoenix,2020-08-02,Active
C00260,Northstar Systems 260,Technology,Mid-Market,Dallas,2019-02-18,Active
C00261,Redwood Holdings 261,Technology,SMB,Boston,2018-05-12,Active
C00262,BluePeak Industries 262,Technology,SMB,Denver,2022-01-15,Active
C00263,BluePeak Systems 263,Retail,Mid-Market,Portland,2024-05-05,Active
C00264,BluePeak Group 264,Manufacturing,Mid-Market,Austin,2021-12-10,Active
C00265,HarborPoint Partners 265,Retail,Mid-Market,Phoenix,2023-07-18,Active
C00266,Summit Group 266,Healthcare,SMB,San Diego,2021-05-18,Active
C00267,Pioneer Partners 267,Technology,SMB,Chicago,2019-02-23,Active
C00268,Redwood Systems 268,Healthcare,Mid-Market,New York,2020-04-02,Active
C00269,Redwood Partners 269,Manufacturing,SMB,New York,2018-06-24,Active
C00270,Evergreen Holdings 270,Financial Services,Mid-Market,Phoenix,2020-09-20,Active
C00271,Ironwood Holdings 271,Manufacturing,Mid-Market,San Diego,2024-02-18,Active
C00272,Redwood Industries 272,Financial Services,SMB,Denver,2020-04-06,Active
C00273,Northstar Industries 273,Technology,Enterprise,San Diego,2023-10-05,Active
C00274,Northstar Partners 274,Healthcare,SMB,Seattle,2018-05-02,Active
C00275,Summit Systems 275,Manufacturing,Mid-Market,New York,2024-05-27,Active
C00276,Ironwood Group 276,Retail,SMB,Denver,2023-01-08,Active
C00277,Evergreen Industries 277,Healthcare,Mid-Market,Boston,2021-07-16,Active
C00278,HarborPoint Industries 278,Financial Services,SMB,New York,2021-02-15,Active
C00279,Lumen Holdings 279,Manufacturing,Enterprise,Seattle,2024-09-29,Active
C00280,Redwood Holdings 280,Financial Services,Mid-Market,Denver,2023-07-01,Active
C00281,Ironwood Partners 281,Professional Services,SMB,Austin,2024-09-06,Active
C00282,Evergreen Group 282,Technology,SMB,Austin,2022-01-10,Active
C00283,CedarWorks Partners 283,Professional Services,Mid-Market,Chicago,2022-06-26,Active
C00284,Northstar Group 284,Manufacturing,SMB,Boston,2019-05-10,At Risk
C00285,Redwood Group 285,Healthcare,Enterprise,Seattle,2024-09-22,Churned
C00286,Westbridge Industries 286,Healthcare,Mid-Market,San Diego,2019-08-22,Active
C00287,Redwood Holdings 287,Financial Services,Enterprise,Dallas,2023-03-07,Active
C00288,Evergreen Partners 288,Healthcare,SMB,Phoenix,2019-02-16,Active
C00289,CedarWorks Industries 289,Healthcare,Mid-Market,San Diego,2020-10-18,Active
C00290,BluePeak Partners 290,Financial Services,Mid-Market,Dallas,2018-04-07,Active
C00291,Ironwood Group 291,Healthcare,SMB,New York,2018-11-18,Active
C00292,Pioneer Industries 292,Technology,Enterprise,Chicago,2019-04-07,Active
C00293,Ironwood Systems 293,Manufacturing,Enterprise,Portland,2020-05-01,Active
C00294,Cloudline Systems 294,Retail,SMB,New York,2021-04-06,Active
C00295,Cloudline Partners 295,Professional Services,SMB,New York,2020-10-04,Active
C00296,Ironwood Systems 296,Technology,Mid-Market,Austin,2022-01-24,At Risk
C00297,Summit Group 297,Manufacturing,Mid-Market,Phoenix,2021-07-15,Active
C00298,Westbridge Systems 298,Retail,SMB,Chicago,2023-05-06,Active
C00299,Northstar Group 299,Financial Services,Enterprise,New York,2018-01-07,Churned
C00300,Summit Holdings 300,Technology,Mid-Market,Chicago,2021-01-14,Active
C00301,Ironwood Partners 301,Financial Services,Mid-Market,San Diego,2021-10-07,Active
C00302,Lumen Industries 302,Healthcare,Enterprise,Phoenix,2020-06-18,Active
C00303,Cloudline Systems 303,Manufacturing,Enterprise,San Diego,2023-04-27,Active
C00304,Northstar Group 304,Healthcare,SMB,Phoenix,2019-10-09,Active
C00305,Redwood Partners 305,Retail,Mid-Market,Dallas,2020-07-09,Active
C00306,BluePeak Systems 306,Manufacturing,Mid-Market,Phoenix,2020-07-18,Active
C00307,Evergreen Partners 307,Retail,Enterprise,Boston,2024-05-26,Active
C00308,Redwood Holdings 308,Retail,SMB,Boston,2021-07-10,Active
C00309,Redwood Holdings 309,Retail,Mid-Market,Chicago,2024-08-26,Active
C00310,Cloudline Partners 310,Technology,SMB,Chicago,2023-03-21,Active
C00311,Lumen Partners 311,Healthcare,Mid-Market,Seattle,2018-02-17,Active
C00312,Ironwood Holdings 312,Financial Services,SMB,Denver,2022-11-09,Active
C00313,Lumen Industries 313,Healthcare,Enterprise,Boston,2021-07-19,Active
C00314,BluePeak Partners 314,Manufacturing,SMB,Austin,2021-10-24,Active
C00315,Cloudline Group 315,Manufacturing,SMB,Seattle,2023-10-16,Active
C00316,Pioneer Industries 316,Manufacturing,Enterprise,Denver,2024-04-13,Active
C00317,Westbridge Industries 317,Manufacturing,Mid-Market,New York,2022-10-31,Active
C00318,Lumen Group 318,Professional Services,Mid-Market,Austin,2023-09-18,Active
C00319,Westbridge Systems 319,Manufacturing,Enterprise,Boston,2022-12-20,Active
C00320,Redwood Partners 320,Manufacturing,Enterprise,Austin,2019-09-11,Active
C00321,Northstar Systems 321,Professional Services,SMB,New York,2019-09-07,Active
C00322,Cloudline Industries 322,Manufacturing,Enterprise,Denver,2021-09-14,Active
C00323,Northstar Group 323,Professional Services,Mid-Market,Chicago,2020-03-31,At Risk
C00324,Ironwood Industries 324,Manufacturing,SMB,Seattle,2021-12-22,At Risk
C00325,CedarWorks Partners 325,Technology,SMB,Boston,2020-03-15,Active
C00326,BluePeak Group 326,Professional Services,Mid-Market,Phoenix,2020-08-05,Active
C00327,Evergreen Partners 327,Financial Services,Mid-Market,Portland,2019-08-22,Active
C00328,Evergreen Industries 328,Technology,Mid-Market,Austin,2019-01-27,Active
C00329,HarborPoint Holdings 329,Professional Services,Mid-Market,San Diego,2022-07-06,Active
C00330,Lumen Group 330,Financial Services,Mid-Market,Dallas,2024-09-02,Active
C00331,Northstar Holdings 331,Professional Services,SMB,Phoenix,2019-02-01,Churned
C00332,Ironwood Group 332,Healthcare,SMB,San Diego,2024-09-16,Active
C00333,HarborPoint Partners 333,Manufacturing,Mid-Market,Chicago,2023-08-15,Active
C00334,BluePeak Industries 334,Retail,Enterprise,Denver,2022-02-23,Active
C00335,Pioneer Industries 335,Retail,Mid-Market,Denver,2023-02-21,Active
C00336,Ironwood Holdings 336,Manufacturing,SMB,Dallas,2018-06-04,Active
C00337,Redwood Systems 337,Manufacturing,Mid-Market,Boston,2021-11-22,Active
C00338,Westbridge Holdings 338,Professional Services,Mid-Market,San Diego,2022-03-29,Active
C00339,Evergreen Systems 339,Professional Services,Mid-Market,Denver,2024-04-26,Active
C00340,Pioneer Industries 340,Financial Services,Enterprise,Denver,2022-11-18,Active
C00341,Pioneer Holdings 341,Retail,SMB,Seattle,2023-10-12,Active
C00342,Westbridge Partners 342,Financial Services,SMB,San Diego,2022-11-03,Active
